,Questions,Ratings
277593,Quietness - star rating,1
277598,Overall hospital rating - star rating,3
277603,Recommend hospital - star rating,3
277604,Summary star rating,3
277609,Nurse communication - star rating,3
277623,Doctor communication - star rating,4
277637,Staff responsiveness - star rating,3
277648,Communication about medicines - star rating,3
277658,Discharge information - star rating,4
277667,Care transition - star rating,4
277681,Cleanliness - star rating,2
277686,Quietness - star rating,1
277691,Overall hospital rating - star rating,4
277696,Recommend hospital - star rating,4
277697,Summary star rating,3
277702,Nurse communication - star rating,3
277716,Doctor communication - star rating,2
277730,Staff responsiveness - star rating,2
277741,Communication about medicines - star rating,2
277751,Discharge information - star rating,3
277760,Care transition - star rating,2
277774,Cleanliness - star rating,4
277779,Quietness - star rating,1
277784,Overall hospital rating - star rating,2
277789,Recommend hospital - star rating,2
277790,Summary star rating,2
277795,Nurse communication - star rating,4
277809,Doctor communication - star rating,4
277823,Staff responsiveness - star rating,3
277834,Communication about medicines - star rating,4
277844,Discharge information - star rating,3
277853,Care transition - star rating,4
277867,Cleanliness - star rating,5
277872,Quietness - star rating,2
277877,Overall hospital rating - star rating,4
277882,Recommend hospital - star rating,4
277883,Summary star rating,4
277888,Nurse communication - star rating,4
277902,Doctor communication - star rating,4
277916,Staff responsiveness - star rating,3
277927,Communication about medicines - star rating,3
277937,Discharge information - star rating,4
277946,Care transition - star rating,3
277960,Cleanliness - star rating,3
277965,Quietness - star rating,1
277970,Overall hospital rating - star rating,3
277975,Recommend hospital - star rating,4
277976,Summary star rating,3
277981,Nurse communication - star rating,4
277995,Doctor communication - star rating,3
278009,Staff responsiveness - star rating,3
278020,Communication about medicines - star rating,3
278030,Discharge information - star rating,2
278039,Care transition - star rating,3
278053,Cleanliness - star rating,4
278058,Quietness - star rating,2
278063,Overall hospital rating - star rating,3
278068,Recommend hospital - star rating,3
278069,Summary star rating,3
278074,Nurse communication - star rating,3
278088,Doctor communication - star rating,3
278102,Staff responsiveness - star rating,2
278113,Communication about medicines - star rating,2
278123,Discharge information - star rating,3
278132,Care transition - star rating,2
278146,Cleanliness - star rating,4
278151,Quietness - star rating,2
278156,Overall hospital rating - star rating,2
278161,Recommend hospital - star rating,3
278162,Summary star rating,3
278167,Nurse communication - star rating,2
278181,Doctor communication - star rating,3
278195,Staff responsiveness - star rating,1
278206,Communication about medicines - star rating,2
278216,Discharge information - star rating,1
278225,Care transition - star rating,1
278239,Cleanliness - star rating,4
278244,Quietness - star rating,3
278249,Overall hospital rating - star rating,2
278254,Recommend hospital - star rating,2
278255,Summary star rating,2
278260,Nurse communication - star rating,3
278274,Doctor communication - star rating,2
278288,Staff responsiveness - star rating,2
278299,Communication about medicines - star rating,2
278309,Discharge information - star rating,3
278318,Care transition - star rating,2
278332,Cleanliness - star rating,4
278337,Quietness - star rating,2
278342,Overall hospital rating - star rating,2
278347,Recommend hospital - star rating,2
278348,Summary star rating,2
278353,Nurse communication - star rating,3
278367,Doctor communication - star rating,3
278381,Staff responsiveness - star rating,2
278392,Communication about medicines - star rating,2
278402,Discharge information - star rating,3
278411,Care transition - star rating,2
278425,Cleanliness - star rating,3
278430,Quietness - star rating,1
278435,Overall hospital rating - star rating,3
278440,Recommend hospital - star rating,3
278441,Summary star rating,3
278446,Nurse communication - star rating,2
278460,Doctor communication - star rating,2
278474,Staff responsiveness - star rating,2
278485,Communication about medicines - star rating,2
278495,Discharge information - star rating,3
278504,Care transition - star rating,2
278518,Cleanliness - star rating,3
278523,Quietness - star rating,1
278528,Overall hospital rating - star rating,2
278533,Recommend hospital - star rating,2
278534,Summary star rating,2
278539,Nurse communication - star rating,1
278553,Doctor communication - star rating,2
278567,Staff responsiveness - star rating,1
278578,Communication about medicines - star rating,2
278588,Discharge information - star rating,2
278597,Care transition - star rating,1
278611,Cleanliness - star rating,3
278616,Quietness - star rating,1
278621,Overall hospital rating - star rating,1
278626,Recommend hospital - star rating,1
278627,Summary star rating,2
278632,Nurse communication - star rating,2
278646,Doctor communication - star rating,3
278660,Staff responsiveness - star rating,1
278671,Communication about medicines - star rating,1
278681,Discharge information - star rating,2
278690,Care transition - star rating,1
278704,Cleanliness - star rating,4
278709,Quietness - star rating,2
278714,Overall hospital rating - star rating,2
278719,Recommend hospital - star rating,2
278720,Summary star rating,2
278725,Nurse communication - star rating,1
278739,Doctor communication - star rating,1
278753,Staff responsiveness - star rating,1
278764,Communication about medicines - star rating,1
278774,Discharge information - star rating,1
278783,Care transition - star rating,1
278797,Cleanliness - star rating,2
278802,Quietness - star rating,1
278807,Overall hospital rating - star rating,1
278812,Recommend hospital - star rating,1
278813,Summary star rating,1
278818,Nurse communication - star rating,2
278832,Doctor communication - star rating,2
278846,Staff responsiveness - star rating,2
278857,Communication about medicines - star rating,2
278867,Discharge information - star rating,3
278876,Care transition - star rating,2
278890,Cleanliness - star rating,3
278895,Quietness - star rating,1
278900,Overall hospital rating - star rating,2
278905,Recommend hospital - star rating,2
278906,Summary star rating,2
280027,Nurse communication - star rating,4
280041,Doctor communication - star rating,4
280055,Staff responsiveness - star rating,3
280066,Communication about medicines - star rating,3
280076,Discharge information - star rating,5
280085,Care transition - star rating,4
280099,Cleanliness - star rating,4
280104,Quietness - star rating,2
280109,Overall hospital rating - star rating,4
280114,Recommend hospital - star rating,4
280115,Summary star rating,4
280492,Nurse communication - star rating,4
280506,Doctor communication - star rating,3
280520,Staff responsiveness - star rating,4
280531,Communication about medicines - star rating,3
280541,Discharge information - star rating,4
280550,Care transition - star rating,3
280564,Cleanliness - star rating,5
280569,Quietness - star rating,4
280574,Overall hospital rating - star rating,4
280579,Recommend hospital - star rating,4
280580,Summary star rating,4
280585,Nurse communication - star rating,4
280599,Doctor communication - star rating,3
280613,Staff responsiveness - star rating,4
280624,Communication about medicines - star rating,3
280634,Discharge information - star rating,5
280643,Care transition - star rating,3
280657,Cleanliness - star rating,3
280662,Quietness - star rating,2
280667,Overall hospital rating - star rating,3
280672,Recommend hospital - star rating,3
280673,Summary star rating,3
281050,Nurse communication - star rating,3
281064,Doctor communication - star rating,4
281078,Staff responsiveness - star rating,2
281089,Communication about medicines - star rating,3
281099,Discharge information - star rating,4
281108,Care transition - star rating,3
281122,Cleanliness - star rating,3
281127,Quietness - star rating,4
281132,Overall hospital rating - star rating,3
281137,Recommend hospital - star rating,4
281138,Summary star rating,3
